"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","potassium ion transport","GO:0006813","1.488948687189899e-9","8.827120268839005","238","1691","50","21017","WWP2,CASQ2,HCRT,VPS4B,KCNK2,OXSR1,PRNP,ADRA2A,CD63,EDN3,DRD2,KCNE1,KCNA2,ATF4,DRD1,GAL,KEL,HTR2A,NOS3,NOS1,ADORA1,DRD3,ACTN2,OPRK1,CDKN1B,NEDD4,CAV3,SNAP25,VAMP2,SUMO1,ANK2,KCNC4,ABCC8,KCNH2,ANK3,DLG1,AKAP6,PKD2,PTK2B,KCNJ11,KCNB1,KCNAB1,KCNMB4,KCNRG,WNK4,NEDD4L,CHP1,STK39,KCNE5,CAB39"
"GO:BP","D-glucose import","GO:0046323","1.5747113056278662e-9","8.802799054487068","74","1691","25","21017","DHRS7C,STXBP3,INS,TNF,IGF1,RHOQ,DRD1,ENPP1,PIK3R1,AKT1,IRS1,LEP,GSK3A,GPC3,SESN2,OSTN,RNASEL,PTPN11,GRB10,PEA15,ADIPOQ,NFE2L2,PID1,OSBPL8,IRS2"
"GO:BP","defense response to Gram-negative bacterium","GO:0050829","1.6293573066634992e-9","8.787983667504554","91","1691","28","21017","SSC5D,TLR4,TUSC2,F2,LTF,SERPINE1,IL6,ELANE,CTSG,CHGA,DEFA4,BPI,LBP,AZU1,IL12B,NOS2,RPS19,CAMP,F2RL1,DEFA3,DEFA6,PRKD1,IL23R,TNFRSF14,TREM1,IL23A,TLR9,PYCARD"
"GO:BP","lipid storage","GO:0019915","1.6293573066634992e-9","8.787983667504554","91","1691","28","21017","CIDEA,TNF,IL1B,APOA1,APOE,ITGB3,IL6,ITGAV,CD36,PTPN2,NFKB1,ENPP1,NFKBIA,SREBF1,PPARG,LEP,CPT1A,STAT5B,NR1H2,PPARD,PPARA,SREBF2,NR1H3,CRY1,ZC3H12A,ACVR1C,SIRT1,OSBPL8"
"GO:BP","central nervous system neuron differentiation","GO:0021953","1.8595173458940862e-9","8.730599766113318","203","1691","45","21017","UNCX,BMPR1B,WNT7A,NRP1,SEMA3E,DCLK1,SLIT2,INHBA,MAPT,DRD2,CHRNB2,GABRB1,DRD1,GATA2,CTNNB1,BMPR1A,LEP,WNT5A,DCC,NKX2-1,ID4,PLXNA3,WNT3,WNT3A,PTEN,B2M,ADARB1,CDK5,NHLH2,ATP7A,HES1,SHH,NTRK2,SZT2,LDB1,SFRP1,DRAXIN,PROX1,SFRP2,DLL4,NRXN1,SUFU,FZD1,ATF5,ROBO1"
"GO:BP","striated muscle hypertrophy","GO:0014897","2.0270855290761352e-9","8.693127926678393","86","1691","27","21017","MEIS1,ROCK2,PDE5A,BMP10,IGF1,EDN1,PARP1,G6PD,ATP2A2,IGFBP5,PPARG,LEP,HTR2B,NOTCH1,GSK3A,HDAC4,CAV3,SMAD3,PPARA,PPP3CA,AKAP6,CAMK2D,PRKG1,EZH2,RYR2,HDAC2,CTDP1"
"GO:BP","response to starvation","GO:0042594","2.03440555783423e-9","8.691562466372734","218","1691","47","21017","SUV39H1,FOXO3,HCRT,ALB,TP53,INHBB,HNRNPA1,BCL2,SRD5A1,ATF4,EIF2AK2,COMT,FAS,ZFP36,SREBF1,PPARG,MTOR,MAPK8,PRKAA2,UCP2,WNT4,SESN2,PPARA,SREBF2,KLF10,PRKAA1,BMPR2,GAS6,PRKD1,NFE2L2,CARTPT,IFI16,HFE,ZC3H12A,LRRK2,SZT2,ULK2,SFRP1,FLCN,SIRT1,MYBBP1A,BCAS3,EIF2AK4,PPARGC1A,STK24,SESN1,TNFRSF11A"
"GO:BP","interferon-beta production","GO:0032608","2.084525603404786e-9","8.68099276623731","59","1691","22","21017","TLR4,DDX3X,TRIM38,TLR3,PPM1B,ISG15,IRF1,TIRAP,RELB,PTPN11,DHX9,TRAF3,NMI,NLRC3,ZC3HAV1,MAVS,NLRX1,TICAM1,CACTIN,TLR9,PYCARD,PTPN22"
"GO:BP","cell differentiation involved in kidney development","GO:0061005","2.084525603404786e-9","8.68099276623731","59","1691","22","21017","GREM1,PDGFB,EDN1,LIF,WT1,EDNRB,CD34,CTNNB1,GDNF,STAT1,NOTCH1,WNT4,MEF2C,HES1,SHH,ADIPOQ,MAGI2,OSR1,FOXJ1,LGR4,GLIS2,WWTR1"
"GO:BP","regulation of interferon-beta production","GO:0032648","2.084525603404786e-9","8.68099276623731","59","1691","22","21017","TLR4,DDX3X,TRIM38,TLR3,PPM1B,ISG15,IRF1,TIRAP,RELB,PTPN11,DHX9,TRAF3,NMI,NLRC3,ZC3HAV1,MAVS,NLRX1,TICAM1,CACTIN,TLR9,PYCARD,PTPN22"
"GO:BP","response to cadmium ion","GO:0046686","2.084525603404786e-9","8.68099276623731","59","1691","22","21017","EGFR,CAT,PRNP,SOD2,MT1A,JUN,MT1B,ERCC1,HMOX1,KIT,MT1G,MT3,AKT1,MAPK8,MAPK9,CDKN1B,SUMO1,MT1H,MT1X,ATP7A,MT1M,SLC30A1"
"GO:BP","positive regulation of biomineral tissue development","GO:0070169","2.0931356804731736e-9","8.679202619071278","54","1691","21","21017","FZD9,BMPR1B,LTF,ISG15,ADRB2,BMP4,CEBPB,BMP7,ATF4,PTN,SLC8A1,BMPR1A,WNT4,SMAD3,MEF2C,GPM6B,BMPR2,PKDCC,OSR1,P2RX7,FBXO5"
"GO:BP","roof of mouth development","GO:0060021","2.149045827884329e-9","8.667754323184653","92","1691","28","21017","WNT7A,SNAI2,SGPL1,SNAI1,WNT11,COL2A1,INHBA,TGFB3,PDGFRA,MSX1,SOX11,BMPR1A,TGFBR2,WNT5A,MEOX2,WNT3A,TGFB2,SUMO1,DLG1,LRRC32,SHH,TWIST1,PKDCC,BBS7,OSR1,PLEKHA1,CHD7,FZD1"
"GO:BP","regulation of signal transduction by p53 class mediator","GO:1901796","2.14936432919449e-9","8.667689962941363","110","1691","31","21017","AURKA,SNAI2,PARK2,KDM1A,USP2,PSMD10,SNAI1,MYC,CD74,TP53,BCL2,MIF,MSX1,PML,AKT1,MTOR,CDKN2A,MAP2K6,SOX4,EP300,PLA2R1,ATM,DYRK1A,TWIST1,STK11,DYRK2,USP7,SIRT1,CDK5RAP3,ING2,ING4"
"GO:BP","response to activity","GO:0014823","2.1608970388633036e-9","8.665365925628924","75","1691","25","21017","MSTN,TNF,CAT,SOD2,ITGB3,IL6,EDN1,TH,SRD5A1,CAPN3,IL10,LEP,PRKAA2,PRKAA1,STK11,ADIPOQ,CRY1,HIF1A,HADH,RYR2,ABCG8,ABCG5,PPARGC1A,HDAC5,CAB39"
